OBL;BAZA;TIMESTAMP;ATTRIBUTE;Модель;Свойство;Значение
0;RM;2025-05-18 18:38:27.000;;Hilux TrueForm 1.50 Sensity Dark;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.50;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.50 Photo;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.50 PhotoDark;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.60;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.60 Photo;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.60 PhotoDark;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.67;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WLBifC28 1.50;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WL Reader I 0.75 1.50;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WL Reader II 1.50 1.50;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WL Reader II 1.50 1.60;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WLSf 1.50;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WLSf 1.67;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WLSf 1.60 Photo;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WLSf 1.60;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WLSf 1.50 Polar;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WL Multifocal Office 400 1.60;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;WL Multifocal Office 400 1.50;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;Miyosmart 1.59;Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;Addpower 1.50 HVA (Stock+);Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;Addpower 1.50 SHV (Stock+);Минимальный коридор прогрессии;0
0;RM;2025-05-18 18:38:27.000;;Intermediate 1.50  A;Degr;0,8
0;RM;2025-05-18 18:38:27.000;;Miyosmart 1.59;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;Addpower 1.50 HVA (Stock+);Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;Addpower 1.50 SHV (Stock+);Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WLBifC28 1.50;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.67;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.60 PhotoDark;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.60 Photo;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.60;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.50 PhotoDark;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.50 Photo;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.50;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WLSf 1.50 Polar;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WLSf 1.60;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WLSf 1.60 Photo;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WLSf 1.67;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WL Reader I 0.75 1.50;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WL Reader II 1.50 1.50;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WLSf 1.50;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WL Reader II 1.50 1.60;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WL Multifocal Office 400 1.60;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;WL Multifocal Office 400 1.50;Вертекс в пробной оправе;0
0;RM;2025-05-18 18:38:27.000;;1.52 Stigmal 15;RX;Складские
0;RM;2025-05-18 18:38:27.000;;WLSf 1.50 Polar;Светопропускание;Поляризационные
0;RM;2025-05-18 18:38:27.000;;Pal Supreme Pref Flex 1.5;Тип линзы;Полный прогрессив
0;RM;2025-05-18 18:38:27.000;;Pal Supreme Pref Near 1.5;Тип линзы;Полный прогрессив
0;RM;2025-05-18 18:38:27.000;;WLProgBasic15 1.60;Тип линзы;Полный прогрессив
0;RM;2025-05-18 18:38:27.000;;WLProgBasic15 1.60 Photo;Тип линзы;Полный прогрессив
0;RM;2025-05-18 18:38:27.000;;WLProgBasic15 1.50;Тип линзы;Полный прогрессив
0;RM;2025-05-18 18:38:27.000;;WLProgBasic15 1.50 Photo;Тип линзы;Полный прогрессив
0;RM;2025-05-18 18:38:27.000;;WLProgBasic11 1.60;Тип линзы;Полный прогрессив
0;RM;2025-05-18 18:38:27.000;;WLProgBasic11 1.60 Photo;Тип линзы;Полный прогрессив
0;RM;2025-05-18 18:38:27.000;;WLProgBasic11 1.50;Тип линзы;Полный прогрессив
0;RM;2025-05-18 18:38:27.000;;WLProgBasic11 1.50 Photo;Тип линзы;Полный прогрессив
0;RM;2025-05-18 18:38:27.000;;WLProgPlus14 1.60;Тип линзы;Полный прогрессив
0;RM;2025-05-18 18:38:27.000;;WLProgPlus14 1.60 Photo;Тип линзы;Полный прогрессив
0;RM;2025-05-18 18:38:27.000;;WLProgPlus14 1.50;Тип линзы;Полный прогрессив
